              x              v
   1.000000e-04   8.995846e-04
   1.999900e-04   1.798170e-03
   2.999800e-04   2.695758e-03
   3.999700e-04   3.592348e-03
   4.999600e-04   4.487943e-03
   5.999500e-04   5.382542e-03
   6.999400e-04   6.276148e-03
   7.999300e-04   7.168760e-03
   8.999200e-04   8.060381e-03
   9.999100e-04   8.951010e-03
   1.099900e-03   9.840650e-03
   1.199890e-03   1.072930e-02
   1.299880e-03   1.161696e-02
   1.399870e-03   1.250364e-02
   1.499860e-03   1.338933e-02
   1.599850e-03   1.427403e-02
   1.699840e-03   1.515775e-02
   1.799830e-03   1.604049e-02
   1.899820e-03   1.692224e-02
   1.999810e-03   1.780301e-02
   2.099800e-03   1.868281e-02
   2.199790e-03   1.956162e-02
   2.299780e-03   2.043946e-02
   2.399770e-03   2.131632e-02
   2.499760e-03   2.219220e-02
   2.599750e-03   2.306710e-02
   2.699740e-03   2.394104e-02
   2.799730e-03   2.481400e-02
   2.899720e-03   2.568598e-02
   2.999710e-03   2.655700e-02
   3.099700e-03   2.742704e-02
   3.199690e-03   2.829612e-02
   3.299680e-03   2.916422e-02
   3.399670e-03   3.003136e-02
   3.499660e-03   3.089754e-02
   3.599650e-03   3.176274e-02
   3.699640e-03   3.262699e-02
   3.799630e-03   3.349027e-02
   3.899620e-03   3.435258e-02
   3.999610e-03   3.521394e-02
   4.099600e-03   3.607433e-02
   4.199590e-03   3.693376e-02
   4.299580e-03   3.779224e-02
   4.399570e-03   3.864975e-02
   4.499560e-03   3.950631e-02
   4.599550e-03   4.036192e-02
   4.699540e-03   4.121657e-02
   4.799530e-03   4.207026e-02
   4.899520e-03   4.292300e-02
   4.999510e-03   4.377479e-02
   5.099500e-03   4.462563e-02
   5.199490e-03   4.547552e-02
   5.299480e-03   4.632446e-02
   5.399470e-03   4.717245e-02
   5.499460e-03   4.801949e-02
   5.599450e-03   4.886559e-02
   5.699440e-03   4.971074e-02
   5.799430e-03   5.055494e-02
   5.899420e-03   5.139821e-02
   5.999410e-03   5.224053e-02
   6.099400e-03   5.308191e-02
   6.199390e-03   5.392234e-02
   6.299380e-03   5.476184e-02
   6.399370e-03   5.560040e-02
   6.499360e-03   5.643802e-02
   6.599350e-03   5.727470e-02
   6.699340e-03   5.811045e-02
   6.799330e-03   5.894526e-02
   6.899320e-03   5.977914e-02
   6.999310e-03   6.061208e-02
   7.099300e-03   6.144409e-02
   7.199290e-03   6.227518e-02
   7.299280e-03   6.310533e-02
   7.399270e-03   6.393455e-02
   7.499260e-03   6.476284e-02
   7.599250e-03   6.559020e-02
   7.699240e-03   6.641664e-02
   7.799230e-03   6.724215e-02
   7.899220e-03   6.806674e-02
   7.999210e-03   6.889040e-02
   8.099200e-03   6.971314e-02
   8.199190e-03   7.053495e-02
   8.299180e-03   7.135585e-02
   8.399170e-03   7.217582e-02
   8.499160e-03   7.299488e-02
   8.599150e-03   7.381302e-02
   8.699140e-03   7.463024e-02
   8.799130e-03   7.544654e-02
   8.899120e-03   7.626193e-02
   8.999110e-03   7.707640e-02
   9.099100e-03   7.788996e-02
   9.199090e-03   7.870260e-02
   9.299080e-03   7.951434e-02
   9.399070e-03   8.032516e-02
   9.499060e-03   8.113507e-02
   9.599050e-03   8.194407e-02
   9.699040e-03   8.275217e-02
   9.799030e-03   8.355935e-02
   9.899020e-03   8.436563e-02
   9.999010e-03   8.517101e-02
   1.009900e-02   8.597548e-02
   1.019899e-02   8.677904e-02
   1.029898e-02   8.758170e-02
   1.039897e-02   8.838346e-02
   1.049896e-02   8.918432e-02
   1.059895e-02   8.998428e-02
