              x              u
   1.000000e-02   8.516304e-02
   1.989899e-02   1.605437e-01
   2.979798e-02   2.278870e-01
   3.969697e-02   2.879504e-01
   4.959596e-02   3.414200e-01
   5.949495e-02   3.889173e-01
   6.939394e-02   4.310052e-01
   7.929293e-02   4.681934e-01
   8.919192e-02   5.009437e-01
   9.909091e-02   5.296745e-01
   1.089899e-01   5.547646e-01
   1.188889e-01   5.765570e-01
   1.287879e-01   5.953627e-01
   1.386869e-01   6.114630e-01
   1.485859e-01   6.251129e-01
   1.584848e-01   6.365435e-01
   1.683838e-01   6.459638e-01
   1.782828e-01   6.535634e-01
   1.881818e-01   6.595138e-01
   1.980808e-01   6.639705e-01
   2.079798e-01   6.670742e-01
   2.178788e-01   6.689525e-01
   2.277778e-01   6.697208e-01
   2.376768e-01   6.694838e-01
   2.475758e-01   6.683362e-01
   2.574747e-01   6.663639e-01
   2.673737e-01   6.636445e-01
   2.772727e-01   6.602485e-01
   2.871717e-01   6.562397e-01
   2.970707e-01   6.516757e-01
   3.069697e-01   6.466090e-01
   3.168687e-01   6.410869e-01
   3.267677e-01   6.351523e-01
   3.366667e-01   6.288442e-01
   3.465657e-01   6.221976e-01
   3.564646e-01   6.152445e-01
   3.663636e-01   6.080139e-01
   3.762626e-01   6.005318e-01
   3.861616e-01   5.928219e-01
   3.960606e-01   5.849058e-01
   4.059596e-01   5.768028e-01
   4.158586e-01   5.685306e-01
   4.257576e-01   5.601052e-01
   4.356566e-01   5.515409e-01
   4.455556e-01   5.428508e-01
   4.554545e-01   5.340469e-01
   4.653535e-01   5.251397e-01
   4.752525e-01   5.161392e-01
   4.851515e-01   5.070540e-01
   4.950505e-01   4.978921e-01
   5.049495e-01   4.886609e-01
   5.148485e-01   4.793667e-01
   5.247475e-01   4.700156e-01
   5.346465e-01   4.606128e-01
   5.445455e-01   4.511634e-01
   5.544444e-01   4.416716e-01
   5.643434e-01   4.321415e-01
   5.742424e-01   4.225767e-01
   5.841414e-01   4.129804e-01
   5.940404e-01   4.033556e-01
   6.039394e-01   3.937050e-01
   6.138384e-01   3.840311e-01
   6.237374e-01   3.743360e-01
   6.336364e-01   3.646217e-01
   6.435354e-01   3.548900e-01
   6.534343e-01   3.451426e-01
   6.633333e-01   3.353810e-01
   6.732323e-01   3.256065e-01
   6.831313e-01   3.158203e-01
   6.930303e-01   3.060235e-01
   7.029293e-01   2.962171e-01
   7.128283e-01   2.864020e-01
   7.227273e-01   2.765790e-01
   7.326263e-01   2.667490e-01
   7.425253e-01   2.569124e-01
   7.524242e-01   2.470701e-01
   7.623232e-01   2.372224e-01
   7.722222e-01   2.273700e-01
   7.821212e-01   2.175132e-01
   7.920202e-01   2.076524e-01
   8.019192e-01   1.977881e-01
   8.118182e-01   1.879206e-01
   8.217172e-01   1.780502e-01
   8.316162e-01   1.681771e-01
   8.415152e-01   1.583016e-01
   8.514141e-01   1.484239e-01
   8.613131e-01   1.385443e-01
   8.712121e-01   1.286629e-01
   8.811111e-01   1.187798e-01
   8.910101e-01   1.088953e-01
   9.009091e-01   9.900952e-02
   9.108081e-01   8.912250e-02
   9.207071e-01   7.923440e-02
   9.306061e-01   6.934532e-02
   9.405051e-01   5.945534e-02
   9.504040e-01   4.956456e-02
   9.603030e-01   3.967304e-02
   9.702020e-01   2.978087e-02
   9.801010e-01   1.988809e-02
   9.900000e-01   9.994771e-03
