              x              v
              0     0.45326246
    0.001001001     0.90642491
    0.002002002      1.3593384
    0.003003003      1.8119046
    0.004004004      2.2640551
    0.005005005      2.7157378
    0.006006006      3.1669118
    0.007007007       3.617543
    0.008008008       4.067603
    0.009009009      4.5170671
     0.01001001      4.9659138
    0.011011011       5.414124
    0.012012012      5.8616806
    0.013013013      6.3085685
    0.014014014      6.7547735
    0.015015015       7.200283
    0.016016016      7.6450853
    0.017017017      8.0891697
    0.018018018      8.5325261
    0.019019019      8.9751454
     0.02002002      9.4170189
    0.021021021      9.8581386
    0.022022022      10.298497
    0.023023023      10.738087
    0.024024024      11.176901
    0.025025025      11.614935
    0.026026026       12.05218
    0.027027027      12.488633
    0.028028028      12.924288
    0.029029029      13.359139
     0.03003003      13.793182
    0.031031031      14.226412
    0.032032032      14.658825
    0.033033033      15.090417
    0.034034034      15.521184
    0.035035035      15.951122
    0.036036036      16.380227
    0.037037037      16.808497
    0.038038038      17.235927
    0.039039039      17.662514
     0.04004004      18.088257
    0.041041041       18.51315
    0.042042042      18.937193
    0.043043043      19.360382
    0.044044044      19.782714
    0.045045045      20.204187
    0.046046046      20.624799
    0.047047047      21.044548
    0.048048048       21.46343
    0.049049049      21.881445
     0.05005005       22.29859
    0.051051051      22.714862
    0.052052052      23.130261
    0.053053053      23.544784
    0.054054054       23.95843
    0.055055055      24.371197
    0.056056056      24.783082
    0.057057057      25.194085
    0.058058058      25.604205
    0.059059059      26.013439
     0.06006006      26.421785
    0.061061061      26.829244
    0.062062062      27.235813
    0.063063063      27.641491
    0.064064064      28.046277
    0.065065065      28.450169
    0.066066066      28.853166
    0.067067067      29.255268
    0.068068068      29.656473
    0.069069069       30.05678
     0.07007007      30.456188
    0.071071071      30.854696
    0.072072072      31.252303
    0.073073073      31.649008
    0.074074074      32.044811
    0.075075075      32.439709
    0.076076076      32.833703
    0.077077077      33.226792
    0.078078078      33.618974
    0.079079079      34.010249
     0.08008008      34.400616
    0.081081081      34.790075
    0.082082082      35.178625
    0.083083083      35.566264
    0.084084084      35.952993
    0.085085085      36.338811
    0.086086086      36.723716
    0.087087087      37.107709
    0.088088088      37.490789
    0.089089089      37.872955
     0.09009009      38.254207
    0.091091091      38.634544
    0.092092092      39.013966
    0.093093093      39.392471
    0.094094094      39.770061
    0.095095095      40.146733
    0.096096096      40.522488
    0.097097097      40.897325
    0.098098098      41.271243
    0.099099099      41.644243
      0.1001001      42.016324
      0.1011011      42.387485
      0.1021021      42.757726
      0.1031031      43.127047
      0.1041041      43.495447
     0.10510511      43.862926
     0.10610611      44.229483
     0.10710711      44.595119
     0.10810811      44.959832
     0.10910911      45.323623
     0.11011011      45.686491
