              x              v
              0    0.009032096
    0.001001001    0.017964192
    0.002002002    0.026797284
    0.003003003    0.035532358
    0.004004004     0.04417039
    0.005005005    0.052712348
    0.006006006    0.061159187
    0.007007007    0.069511855
    0.008008008    0.077771291
    0.009009009    0.085938422
     0.01001001    0.094014169
    0.011011011     0.10199944
    0.012012012     0.10989514
    0.013013013     0.11770216
    0.014014014     0.12542137
    0.015015015     0.13305367
    0.016016016     0.14059991
    0.017017017     0.14806094
    0.018018018     0.15543763
    0.019019019      0.1627308
     0.02002002     0.16994129
    0.021021021     0.17706993
    0.022022022     0.18411752
    0.023023023     0.19108488
    0.024024024     0.19797281
    0.025025025     0.20478209
    0.026026026     0.21151351
    0.027027027     0.21816784
    0.028028028     0.22474586
    0.029029029     0.23124832
     0.03003003     0.23767598
    0.031031031     0.24402957
    0.032032032     0.25030985
    0.033033033     0.25651753
    0.034034034     0.26265334
    0.035035035     0.26871801
    0.036036036     0.27471222
    0.037037037      0.2806367
    0.038038038     0.28649212
    0.039039039     0.29227919
     0.04004004     0.29799858
    0.041041041     0.30365096
    0.042042042     0.30923701
    0.043043043     0.31475737
    0.044044044     0.32021272
    0.045045045     0.32560369
    0.046046046     0.33093092
    0.047047047     0.33619506
    0.048048048     0.34139672
    0.049049049     0.34653654
     0.05005005     0.35161512
    0.051051051     0.35663309
    0.052052052     0.36159103
    0.053053053     0.36648955
    0.054054054     0.37132924
    0.055055055     0.37611069
    0.056056056     0.38083447
    0.057057057     0.38550117
    0.058058058     0.39011135
    0.059059059     0.39466557
     0.06006006     0.39916438
    0.061061061     0.40360835
    0.062062062     0.40799802
    0.063063063     0.41233393
    0.064064064     0.41661661
    0.065065065      0.4208466
    0.066066066     0.42502442
    0.067067067     0.42915058
    0.068068068     0.43322561
    0.069069069     0.43725001
     0.07007007     0.44122429
    0.071071071     0.44514894
    0.072072072     0.44902447
    0.073073073     0.45285135
    0.074074074     0.45663008
    0.075075075     0.46036113
    0.076076076     0.46404499
    0.077077077     0.46768211
    0.078078078     0.47127296
    0.079079079     0.47481801
     0.08008008     0.47831771
    0.081081081     0.48177252
    0.082082082     0.48518287
    0.083083083     0.48854922
    0.084084084       0.491872
    0.085085085     0.49515164
    0.086086086     0.49838858
    0.087087087     0.50158324
    0.088088088     0.50473604
    0.089089089      0.5078474
     0.09009009     0.51091773
    0.091091091     0.51394744
    0.092092092     0.51693694
    0.093093093     0.51988662
    0.094094094     0.52279688
    0.095095095     0.52566811
    0.096096096     0.52850071
    0.097097097     0.53129505
    0.098098098     0.53405152
    0.099099099      0.5367705
      0.1001001     0.53945236
      0.1011011     0.54209747
      0.1021021     0.54470619
      0.1031031     0.54727888
      0.1041041     0.54981592
     0.10510511     0.55231765
     0.10610611     0.55478441
     0.10710711     0.55721657
     0.10810811     0.55961447
     0.10910911     0.56197844
     0.11011011     0.56430883
     0.11111111     0.56660597
     0.11211211     0.56887019
     0.11311311     0.57110181
     0.11411411     0.57330117
     0.11511512     0.57546859
     0.11611612     0.57760438
     0.11711712     0.57970885
     0.11811812     0.58178233
     0.11911912     0.58382511
     0.12012012     0.58583751
     0.12112112     0.58781982
     0.12212212     0.58977235
     0.12312312     0.59169539
     0.12412412     0.59358925
     0.12512513     0.59545419
     0.12612613     0.59729053
     0.12712713     0.59909853
     0.12812813     0.60087848
     0.12912913     0.60263067
     0.13013013     0.60435537
     0.13113113     0.60605285
     0.13213213     0.60772338
     0.13313313     0.60936723
     0.13413413     0.61098467
     0.13513514     0.61257596
     0.13613614     0.61414137
     0.13713714     0.61568114
     0.13813814     0.61719553
     0.13913914     0.61868481
     0.14014014     0.62014921
     0.14114114     0.62158898
     0.14214214     0.62300437
     0.14314314     0.62439563
     0.14414414     0.62576299
     0.14514515     0.62710669
     0.14614615     0.62842697
     0.14714715     0.62972406
